symbol,close,sma20,dist_to_ma_pct,phase1_high,phase2_low,phase3_high,depth_rs,depth_pct,adr_pct
ABSLAMC,802.5,797.64,0.6,884.25,708.0,863.0,176.25,19.9,3.2
ADVANCE,126.89,122.76,3.3,149.4,110.59,136.34,38.81,26.0,4.7
ARSSBL,627.15,626.37,0.1,794.85,565.0,683.8,229.85,28.9,4.4
AVANTEL,156.41,156.28,0.1,215.0,136.92,169.4,78.08,36.3,3.9
BDL,1520.5,1453.56,4.4,1654.0,1305.7,1579.5,348.3,21.1,3.0
CAMLINFINE,152.81,152.62,0.1,235.0,141.0,166.59,94.0,40.0,4.6
DCXINDIA,186.68,185.25,0.8,284.9,153.6,213.5,131.3,46.1,5.1
DEEDEV,223.71,215.64,3.6,308.0,199.52,236.0,108.48,35.2,4.2
GPIL,258.4,256.11,0.9,290.0,221.21,280.4,68.79,23.7,3.4
GRSE,2454.2,2409.48,1.8,2979.6,2168.6,2579.7,811.0,27.2,3.7
HEMIPROP,138.97,134.96,2.9,190.69,125.0,147.5,65.69,34.4,3.3
HONASA,290.4,277.83,4.3,310.0,248.4,305.2,61.6,19.9,3.9
IDEAFORGE,474.5,459.4,3.2,556.25,407.1,509.0,149.15,26.8,3.9
JBMA,613.7,608.09,0.9,790.0,540.2,681.0,249.8,31.6,4.2
KOPRAN,149.16,143.51,3.8,185.94,123.11,159.89,62.83,33.8,4.1
KPIGREEN,447.0,446.95,0.0,542.25,386.8,514.0,155.45,28.7,4.9
MAZDOCK,2500.5,2477.07,0.9,3061.4,2325.1,2607.0,736.3,24.1,3.0
MUFIN,117.47,115.59,1.6,126.34,99.99,123.8,26.35,20.9,3.5
NETWEB,3310.1,3215.88,2.8,4479.0,2920.0,3469.0,1559.0,34.8,3.8
PARAS,680.2,672.1,1.2,790.0,616.1,716.5,173.9,22.0,3.1
RELIGARE,247.06,243.94,1.3,273.0,219.4,265.0,53.6,19.6,3.4
SAATVIKGL,404.95,388.45,4.1,551.8,350.6,433.0,201.2,36.5,4.1
STAR,941.85,921.64,2.1,1025.0,836.75,1010.3,188.25,18.4,3.5
TBZ,169.06,165.16,2.3,199.45,155.0,193.31,44.45,22.3,4.1
THYROCARE,455.1,450.29,1.1,536.6,408.1,462.85,128.5,23.9,4.1
URBANCO,135.66,129.34,4.7,159.4,120.97,139.51,38.43,24.1,3.8
VIPIND,388.1,374.52,3.5,454.3,339.35,435.0,114.95,25.3,3.5
ZYDUSWELL,444.85,441.99,0.6,530.9,404.0,486.8,126.9,23.9,3.3
