above_20ma,above_50ma,below_20ma,below_50ma,date,down_20_pct_5d,down_4_5_pct,up_20_pct_5d,up_4_5_pct
442,398,1544,1562,2026-01-09,5,109,7,17
654,524,1334,1438,2026-01-08,6,134,8,14
979,681,1012,1284,2026-01-07,5,21,18,82
969,646,1017,1318,2026-01-06,1,25,20,46
1124,692,862,1272,2026-01-05,1,33,16,64
1283,686,702,1277,2026-01-02,1,10,13,112
1037,590,948,1373,2026-01-01,2,17,10,70
1046,569,939,1394,2025-12-31,3,19,8,85
757,495,1228,1469,2025-12-30,2,39,8,55
757,492,1228,1471,2025-12-29,0,58,11,44
899,531,1085,1430,2025-12-26,0,23,22,53
968,543,1014,1416,2025-12-24,0,15,17,61
1001,550,980,1407,2025-12-23,0,16,12,73
880,501,1101,1455,2025-12-22,1,18,9,126
641,420,1338,1536,2025-12-19,0,16,6,93
462,355,1518,1601,2025-12-18,0,34,9,46
473,376,1506,1579,2025-12-17,0,56,13,33
564,415,1413,1537,2025-12-16,0,31,15,37
619,434,1357,1517,2025-12-15,1,18,15,75
538,426,1434,1521,2025-12-12,2,10,7,95
404,390,1570,1554,2025-12-11,4,17,4,78
309,336,1664,1605,2025-12-10,3,31,6,56
318,358,1654,1581,2025-12-09,2,16,1,135
215,305,1754,1631,2025-12-08,4,255,1,19
420,419,1547,1513,2025-12-05,3,42,2,35
399,423,1567,1509,2025-12-04,5,30,3,31
406,416,1558,1515,2025-12-03,4,49,1,19
464,458,1500,1474,2025-12-02,2,43,6,27
509,488,1457,1446,2025-12-01,2,45,6,42
525,500,1438,1430,2025-11-28,2,24,4,57
518,489,1445,1439,2025-11-27,5,20,5,55
501,498,1461,1429,2025-11-26,3,11,4,89
385,418,1578,1510,2025-11-25,4,22,2,68
365,408,1597,1518,2025-11-24,7,144,1,38
434,469,1528,1457,2025-11-21,5,44,2,35
541,555,1420,1371,2025-11-20,6,29,7,41
553,565,1408,1359,2025-11-19,5,45,6,43
576,569,1385,1355,2025-11-18,6,41,10,39
688,618,1275,1307,2025-11-17,4,50,7,99
644,582,1316,1339,2025-11-14,4,48,9,79
623,601,1335,1318,2025-11-13,3,54,7,58
657,616,1301,1304,2025-11-12,3,31,5,98
550,575,1405,1344,2025-11-11,9,57,6,60
574,582,1382,1339,2025-11-10,4,86,10,72
610,596,1345,1323,2025-11-07,1,36,8,69
583,598,1371,1316,2025-11-06,1,146,10,42
799,752,1153,1162,2025-11-04,0,30,12,36
964,827,987,1087,2025-11-03,0,37,13,91
876,784,1070,1128,2025-10-31,0,29,8,40
986,843,959,1067,2025-10-30,1,22,6,55
1024,856,915,1052,2025-10-29,1,24,7,65
906,783,1034,1129,2025-10-28,0,29,10,60
913,788,1025,1123,2025-10-27,0,38,13,70
900,784,1034,1126,2025-10-24,2,22,15,46
937,823,996,1086,2025-10-23,2,43,11,76
929,818,1003,1088,2025-10-21,1,0,14,58
714,732,1218,1175,2025-10-20,4,27,7,89
609,689,1321,1216,2025-10-17,4,45,8,42
669,735,1263,1169,2025-10-16,4,19,9,77
582,694,1351,1208,2025-10-15,6,27,7,95
460,632,1470,1270,2025-10-14,3,76,8,32
588,748,1341,1152,2025-10-13,2,42,10,38
700,805,1229,1095,2025-10-10,2,25,16,84
646,759,1280,1138,2025-10-09,4,45,24,84
