symbol,close,period,red_days,green_days,decline_percent,trend_context,liquidity_verified,adr_percent
ABDL,501.75,7,7,0,0.18566907408910166,downtrend,True,4.203857925831021
ATHERENERG,633.3,7,5,2,0.1611920529801325,uptrend,True,5.131285105231103
BALUFORGE,458.9,7,7,0,0.24148760330578517,downtrend,True,5.668057155309281
CUPID,424.5,6,3,3,0.19281232173416996,uptrend,True,8.19872118458691
DEVYANI,133.13,6,5,1,0.1410967741935484,uptrend,True,4.76494511272548
ELECON,423.55,5,4,1,0.1571144278606965,uptrend,True,5.156247364959444
GMBREW,1070.4,4,3,1,0.1504761904761904,uptrend,True,6.562967115097161
GODFRYPHLP,2079.6,7,6,1,0.2437818181818182,downtrend,True,5.433050311873162
IMFA,1216.3,7,6,1,0.18696524064171127,uptrend,True,5.833264819534658
INDOTHAI,252.75,8,4,4,0.17415454991014542,downtrend,True,6.494277236117001
IXIGO,218.9,7,5,2,0.13134920634920633,downtrend,True,4.392090321738568
JWL,293.65,7,6,1,0.13986526069127125,uptrend,True,7.203668118021941
KALAMANDIR,123.38,7,6,1,0.21613722998729357,downtrend,True,4.698608248616355
KIRIINDUS,496.35,7,7,0,0.3479374671571204,uptrend,True,9.13022204953302
KITEX,154.71,5,4,1,0.1531092620976571,downtrend,True,3.40452644117566
M&MFIN,348.5,5,4,1,0.850750103853945,downtrend,True,4.0030744004919
ORIENTTECH,357.15,5,5,0,0.23028017241379314,uptrend,True,8.190836183276334
PREMIERENE,717.45,8,7,1,0.18471590909090904,downtrend,True,3.9141602700038822
SANDUMA,224.77,5,4,1,0.15499999999999997,uptrend,True,6.8317454667946285
SAPPHIRE,221.8,6,4,2,0.14395986105750677,uptrend,True,4.878268710550042
STYLEBAAZA,239.25,5,4,1,0.15712524220539023,downtrend,True,5.1500223914017
SYSTMTXC,108.76,6,5,1,0.24340869565217388,downtrend,True,11.528660747123414
TARIL,274.3,5,4,1,0.18544914625092795,uptrend,True,6.77829279725014
WAAREEENER,2544.6,8,7,1,0.1466800804828974,downtrend,True,3.2949326865855992
ZAGGLE,305.55,7,6,1,0.13441926345609062,downtrend,True,3.910980199639993
